AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
3637.749	2.65	11626.396	2981.584	1076.0	3637.749	11	220.0	110.0	2	1.27
4413.028	1.198	9162.006	3357.406	1656.0	4413.028	8	0.0	0.0	0	1.381
